name,slug,country,city,homepage
"tu berlin","tu-berlin","tyskland","berlin", ""
"danmark tekniske universitet","danmark-tekniske-universitet","danmark","københavn", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"ludwig-maximilian universität (lmu)","ludwig-maximilian-universität-(lmu)","tyskland","münchen", ""
"la sapienza","la-sapienza","italia","roma", ""
"boku, universität für bodenkultur","boku,-universität-für-bodenkultur","Østerrike","wien", ""
"universitetet i bolgona","universitetet-i-bolgona","italia","bologna", ""
"osaka metropolitan university","osaka-metropolitan-university","japan","osaka", ""
"upv","upv","spania","valencia", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"universitetet i genoa","universitetet-i-genoa","italia","genoa", ""
"technische universität münchen (tum)","technische-universität-münchen-(tum)","tyskland","münchen", ""
"ist","ist","portugal","lisboa", ""
"università di bologna","università-di-bologna","italia","bologna", ""
"università degli studi di padova","università-degli-studi-di-padova","italia","padova", ""
"tu graz","tu-graz","Østerrike","graz", ""
"sorbonne universite","sorbonne-universite","frankrike","paris", ""
"university of california santa barbara","university-of-california-santa-barbara","usa","santa barbara", ""
"instituto superior tecnico","instituto-superior-tecnico","portugal","lisboa", ""
"puc","puc","brazil","rio de janeiro", ""
"danmarks tekniske universitet","danmarks-tekniske-universitet","danmark","kongens lyngby / københavn", ""
"tu delft","tu-delft","nederland","delft", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"sapienza","sapienza","italia","roma", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"technische universität münchen","technische-universität-münchen","tyskland","münchen", ""
"la sapienza","la-sapienza","italia","roma", ""
"budapest university of technology and economics","budapest-university-of-technology-and-economics","ungarn","budapest", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"tecnico","tecnico","portugal","lisboa", ""
"aarhus universitet","aarhus-universitet","danmark","aarhus", ""
"tum","tum","tyskland","münchen", ""
"upc - universitat politecnica de catalunya","upc---universitat-politecnica-de-catalunya","spania","barcelona", ""
"ense3 ved inp grenoble","ense3-ved-inp-grenoble","frankrike","grenoble", ""
"politecnico di torino","politecnico-di-torino","italia","torino", ""
"cole polytechnique fédérale de lausanne (epfl)","cole-polytechnique-fédérale-de-lausanne-(epfl)","sveits","lausanne", ""
"montana state university","montana-state-university","usa","bozeman", ""
"oth-regensburg","oth-regensburg","tyskland","regensburg", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"politecnio di milano","politecnio-di-milano","italia","milano", ""
"university of british columbia (ubc)","university-of-british-columbia-(ubc)","canada","vancouver", ""
"eurecom","eurecom","frankrike","antibes", ""
"instituto superior tecnicó","instituto-superior-tecnicó","portugal","lisboa", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"École polytechnique fédérale de lausanne (epfl)","école-polytechnique-fédérale-de-lausanne-(epfl)","sveits","lausanne", ""
"università di roma, la sapienza","università-di-roma,-la-sapienza","italia","roma", ""
"universitetet i københavn","universitetet-i-københavn","danmark","københavn", ""
"uc3m","uc3m","spania","madrid", ""
"technische universität münchen","technische-universität-münchen","tyskland","münchen", ""
"universidad carlos iii de madrid","universidad-carlos-iii-de-madrid","spania","madrid", ""
"insa toulouse","insa-toulouse","frankrike","toulouse", ""
"sapienza","sapienza","italia","roma", ""
"epfl","epfl","sveits","lausanne", ""
"university of british columbia","university-of-british-columbia","canada","vancouver", ""
"dtu","dtu","danmark","kongens lyngby", ""
"technische universität münchen","technische-universität-münchen","tyskland","münchen", ""
"danmarks tekniske universitet (dtu)","danmarks-tekniske-universitet-(dtu)","danmark","københavn", ""
"sciences po","sciences-po","frankrike","lyon", ""
"yıldız teknik Üniversitesi","yıldız-teknik-üniversitesi","tyrkia","istanbul", ""
"università di bologna","università-di-bologna","italia","bologna", ""
"instituto superior tecnico","instituto-superior-tecnico","portugal","lisboa", ""
"universiteit gent","universiteit-gent","belgia","gent", ""
"eurecom","eurecom","frankrike","antibes", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"university of copenhagen","university-of-copenhagen","danmark","københavn", ""
"universitat politecnica de valencia","universitat-politecnica-de-valencia","spania","valencia", ""
"ucsb","ucsb","usa","santa barbara", ""
"universita degli studi di padova","universita-degli-studi-di-padova","italia","padova", ""
"tu/e - technische universiteit eindhoven","tu/e---technische-universiteit-eindhoven","nederland","eindhoven", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"eurecom","eurecom","frankrike","antibes (sophia antipolis)", ""
"instituto superior tecnico","instituto-superior-tecnico","portugal","lisboa", ""
"politecnico di torino","politecnico-di-torino","italia","torino", ""
"università degli studi di padova","università-degli-studi-di-padova","italia","padova", ""
"technische universität münchen","technische-universität-münchen","tyskland","munchen", ""
"","","","", ""
