program,number
"materialteknologi","24"
"bioteknologi master","20"
"produktutvikling og produksjon","103"
"psykologi profesjon","30"
"ingeniørvitenskap og ikt","43"
"bygg- og miljøteknikk","222"
"fysikk og matematikk","122"
"kybernetikk og robotikk","144"
"datateknologi","133"
"marin teknikk","95"
"energi og miljø","132"
"fysmat","3"
"vann- og miljøteknikk","3"
"industriell økonomi og teknologiledelse","267"
"samfunnsøkonomi master","14"
"kommunikasjonsteknologi og digital sikkerhet","64"
"nanoteknologi","59"
"arkitektur","54"
"statsvitenskap bachelor","5"
"industriell kjemi og bioteknologi","77"
"mtfyma - teknisk fysikk","2"
"elektronisk systemdesign og innovasjon","32"
"petroleumsfag","24"
"samfunnsøkonomi","18"
"europastudier","22"
"bachelor i arkeologi","2"
"industriell design","35"
"ingeniørvitenskap & ikt","9"
"biologi bachelor","10"
"sosialt arbeid","14"
"økonomi og administrasjon","88"
"europastudier med statsvitenskap","8"
"master i matematikk","3"
"bioingeniør","8"
"bachelor i bioingeniørfag","2"
"psykologi bachelor","17"
"mtpetr","3"
"informatikk","26"
"statsvitenskap","21"
"logistikkingeniør","4"
"lektor i engelsk","4"
"tekniske geofag","17"
"lektor i samfunnsfag","15"
"økonomi og administrasjon master","7"
"dataingeniør","17"
"digital infrastruktur og cybersikkerhet","5"
"biomarin innovasjon","3"
"ledelse av teknologi","20"
"økonomi og administrasjon bachelor","19"
"bachelor i engelsk","3"
"statsvitenskap master","4"
"digital forretningsutvikling","4"
"bevegelsesvitenskap","15"
"petroleumsteknologi","6"
"barnevernspedagog","17"
"mting","3"
"lektor i geografi","3"
"klassiske fag","2"
"pup","4"
"medisin","53"
"bachelor i programmering","2"
"samfunnsøkonomi bachelor","7"
"sosialantropologi","11"
"konstruksjon","2"
"økonomi, ledelse og bærekraft","4"
"sykepleie bachelor","81"
"vernepleie","3"
"lektorutdanning i kroppsøving og idrettsfag","3"
"lektor i realfag","2"
"lektorutdanning i språkfag (engelsk)","2"
"bachelor i psykologi","5"
"i&amp;ikt","3"
"lektor i kroppsøving og idrett","2"
"sosiologi","5"
"bachelor psykologi","4"
"engelsk bachelor","4"
"mtbygg - konstruksjon","2"
"bioteknologi","14"
"fornybar energi ingeniør","2"
"teknisk fysikk","3"
"produksjon og produktutvikling","2"
"master fysikk","2"
"shipping management","2"
"byggingeniør","2"
"lektor geografi","2"
"medisinstudiet","4"
"elektroingeniør","3"
"profesjonsstudiet i medisin","3"
"film- og videoproduksjon","2"
"arkeologi","9"
"fornybar energi","3"
"maar","2"
"politisk økonomi","2"
"psykologi","8"
"bachelorutdanning i billedkunst","2"
"biologi","2"
"matteknologi","3"
"marin teknikk, 5-årig master","2"
"fysioterapi","2"
"teknisk kybernetikk","12"
"komtek","3"
"engelsk","2"
"indøk - maskin","2"
"lektorutdanning i geografi","2"
"mschem","2"
"indøk-emil","2"
"urban ecological planning","2"
"logistikk","2"
"mlspråk","4"
"markedsføring og ledelse","5"
"barnevern","2"
"bachelor i barnevern","3"
"mlhist","2"
"sosialantropologi master","2"
"master i nordisk språk","2"
"energibruk og energiplanlegging","5"
"bachelor tysk","2"
"lektorutdanning i språkfag","4"
"mlreal","2"
"mit","2"
"lektorutdanning i realfag","2"
"lektor","2"
"radiografi","2"
"molecular medicine","2"
"konstruksjonsteknikk","2"
"sustainable architecture","2"
"bachelor i pedagogikk","2"
"historie bachelor","2"
"elektronikk","2"
"geomatikk","2"
"afrikastudier","2"
"bbi","2"
