name,slug,country,city,homepage,lat,lng,programs
"tu berlin","tu-berlin","Tyskland","Berlin","","0","0","{'materialteknologi':1,'msc industriell økologi':1,'industriell matematikk':2,'kybernetikk og robotikk (sivilingeniør -5årig master)':1,'mtmart':1,'energi og miljø':1,'industriell økonomi (marin)':1,'bygg- og miljøteknikk':1,'mt bygg':1,'marin teknikk':1,'mtbygg':1,}"
"danmark tekniske universitet","danmark-tekniske-universitet","Danmark","københavn","","0","0","{'bioteknologi msbiotech':1,'master i industriell økonomi og teknologiledelse':1,}"
"politecnico di milano","politecnico-di-milano","Italia","Milano","","0","0","{'produktutvikling og produksjon':9,'bygg- og miljøteknikk':5,'energi og miljø':7,'indøk':3,'industriell økonomi og teknologiledelse':8,'mtdt':1,'datateknologi':2,'5-åring master i arkitektur':1,'bygg og miljøteknikk, 5.årig':1,'logistikkingeniør':1,'industriell design':3,'energi &amp; miljø':1,'mtdesig (industriell design)':1,'arkitektur (5-årig master)':1,'industriell økonomi og teknologiledelse (data)':1,'ingeniørvitenskap og ikt':1,'mtbygg':3,'mting':1,'konstruksjon':1,'':1,'industriell kjemi og bioteknologi':6,'kommunikasjonsteknologi':4,'master i arkitektur':1,'mtkj':1,'bygg og miljøteknikk - konstruksjon':1,'mtenerg':1,'kybernetikk og robotikk':2,'bygg og miljøteknikk':2,'produktutvikling og produksjon, 5-årig':1,'bygg -og miljøteknikk':1,'tekniske geofag (mttekgeo)':1,'produsjonsteknologi':1,'mtprod':1,'produktutvikling og produksjon - industriell mekanikk':1,'produktutvikling og produksjon (produksjonsteknologi)':1,'marin teknikk':2,'sustainable manufacturing':1,'teknisk kybernetikk':1,'sustainable architecture':1,}"
"ludwig-maximilian universität (lmu)","ludwig-maximilian-universitat-(lmu)","Tyskland","München","","0","0","{'profesjonsstudiet i psykologi':1,'statsvitenskap':1,'samfunnsøkonomi, bachelor':1,}"
"la sapienza","la-sapienza","Italia","Roma","","0","0","{'i&amp;ikt - geomatikk':1,'datateknologi':1,'datateknologi, 5-årig':1,'kommunikasjonsteknologi og digital sikkerhet':1,'arkitektur':2,'industriell økonomi og teknologiledelse':1,'master, international business and marketing':1,'kybernetikk og robotikk':2,'mtfyma':1,'informatikk':3,'master i teknologiledelse':1,'kommunikasjonsteknologi':2,'energi og miljø':1,}"
"boku, universität für bodenkultur","boku-universitat-fur-bodenkultur","Østerrike","Wien","","0","0","{'bygg og miljøteknikk, vann og miljøteknikk':1,}"
"universitetet i bolgona","universitetet-i-bolgona","Italia","Bologna","","0","0","{'fysikk og matematikk':1,'datateknologi, 5-årig':1,'kybernetikk og robotikk':1,'datateknologi':3,'energi og miljø':2,'industriell økonomi og teknologiledelse':5,'samfunnsøkonomi':1,'kommunikasjonsteknologi og digital sikkerthet':1,'':1,'bygg og miljøteknikk':1,'bygg- og miljøteknikk':1,'mttk':1,'sivilingeniør, datateknologi':1,}"
"osaka metropolitan university","osaka-metropolitan-university","Japan","Osaka","","0","0","{'kybernetikk og robotikk':1,}"
"upv","upv","Spania","Valencia","","0","0","{'produktutvikling og produksjon - robotikk og automasjon':1,'indøk':1,'pup puma':1,'kybernetikk og robotikk':1,'mtprod':1,'produktutvikling og produksjon':2,'marin teknikk':1,'mtbygg':1,'ingeniørvitenskap og ikt':1,'bygg- og miljøteknikk':13,'mtdt':2,'bygg og miljøteknikk, med retning bygg og anlegg.':1,'energi og miljø':3,'bygg og miljøteknikk':3,'industriell design':2,'fysikk og matematikk - industriell matematikk':1,'mtenerg':4,'industriell økonomi og teknologiledelse':1,'energi og miljø - energiforsyning og klimatisering av bygninger':1,}"
"universitetet i genoa","universitetet-i-genoa","Italia","Genoa","","0","0","{'marin teknikk':1,}"
"technische universität münchen (tum)","technische-universitat-munchen-(tum)","Tyskland","München","","0","0","{'mttk':3,'kybernetikk og robotikk':11,'materialteknologi':1,'nanoteknologi':2,'fysikk og matematikk - teknisk fysikk':1,'arkitektur':5,'elektronisk systemdesign og innovasjon':1,'fysikk og matematikk - industriell matematikk':2,'mtfyma':2,'i og ikt, konstruksjonsteknikk':1,'pup':1,'mtnano':4,'':1,'fysikk og matematikk, masterstudium':1,'fysikk og matematikk':3,'master, fysikk og matematikk, tekfys':1,'produktutvikling og produksjon (maskin)':1,'industriell økonomi og teknologiledelse':3,'bygg og miljøteknikk':3,'ingeniørvitenskap og ikt':3,'produktutvikling og produksjon':5,'mtprod':1,'energi og miljø':5,'bygg-og miljøteknikk':1,'fysikk og matematikk - masterstudium (5-årig)':1,'i &amp; ikt':1,'kybernetikk og robotikk, 5 årig':1,'bygg- og miljøteknikk':3,'energibruk og energiplanlegging':1,'produktutvikling &amp; produksjon':1,'mtkj':1,'bygg -og miljøteknikk':1,'kunnskap, teknologi og samfunn':1,'teknisk fysikk':1,'geomatikk':1,'datateknologi':1,'industriell matematikk':1,'teknisk kybernetikk':2,'sivilingeniør bygg- og miljøteknikk':1,'datateknikk':1,'indøk data':1,'indøk':2,}"
"ist","ist","Portugal","Lisboa","","0","0","{'energi og miljø':1,'datateknologi':3,'ingeniørvitenskap og ikt':4,'kybernitikk og robotikk':1,'informatikk':1,'bygg- og miljøteknikk':2,'ingeniørvitenskap &amp; ikt':1,'fysikk og matematikk':1,'elektronisk systemdesign og innovasjon':1,'ingeniørvitenskap og ikt - geomatikk':1,'i&amp;ikt':1,'industriell kjemi og bioteknologi':1,'marin teknikk':3,'mtkj, bioteknologi':1,'komtek':1,'mtmart':1,'bioteknologi':1,'kybernetikk og robotikk':1,'':1,'marin teknikk, hydrodynamikk':1,'mtprod':2,'produktutvikling og produksjon':1,'mttk':1,}"
"università degli studi di padova","universita-degli-studi-di-padova","Italia","Padova","","0","0","{'fysikk og matematikk':2,'energi og miljø, energibruk i bygninger':1,'energi og miljø':3,'5-årig master bygg- og miljøteknikk':1,'industriell kjemi og bioteknologi':1,'energi og miljø - energiforsyning og klimatisering i bygninger':1,'industriell kjemi og bioteknologi - mtkj':1,'mttk':1,'industriell økonomi og teknologiledelse':2,'indøk data':1,'datateknologi':1,'mtkj':2,'psykologi bachelor':1,'indøk':1,'digital forretningsutvikling':1,'mtiøt':1,'industriell økonomi og teknolgiledelse':1,'markedsføring og ledelse':1,}"
"tu graz","tu-graz","Østerrike","Graz","","0","0","{'fysmat':1,'fysikk og matematikk':1,'bygg-og miljøteknikk':1,'energi og miljø':1,'mtbygg':1,'mt bygg':1,'produktutvikling og produksjon':1,'bioteknologi':1,}"
"sorbonne universite","sorbonne-universite","Frankrike","Paris","","0","0","{'fysikk og matematikk  (5-årig)':1,'mathematical sciences (masters programme)':1,}"
"university of california santa barbara","university-of-california-santa-barbara","USA","Santa Barbara","","0","0","{'produktutvikling og produksjon':1,'økonomi og administrasjon':1,'indøk produktutvikling':1,'mttk':1,'marin teknikk':2,'kybernetikk og robotikk':2,'ingeniørvitenskap og ikt':1,'master informatikk - interaksjonsdesign, spill og læringsteknologi':1,'industriell økonomi og teknologiledelse':1,'mtdt':1,}"
"instituto superior tecnico","instituto-superior-tecnico","Portugal","Lisboa","","0","0","{'produktutvikling og produksjon(pup)':1,'indøk':2,'datateknologi 5 åring':1,'kybernetikk og robotikk':8,'bygg- og miljøteknikk':2,'mtmt':1,'produktutvikling og produksjon':7,'energi og miljø, 5-årig':1,'energi og miljø':7,'ingeniørvitenskap og ikt':3,'tekniske geofag':7,'marin teknikk':4,'materialteknologi':2,'fysikk og matematikk':3,'datateknologi':3,'':1,'kybernetikk &amp; robotikk':1,'ingeniørvitenskap &amp; ikt':1,'industriell kjemi- og bioteknologi':1,'mtelsys':2,'marinteknikk':1,'produktutvikling og produksjon  (mtprod)':1,'mtprod':1,'informatikk':1,'master i bioteknologi':1,'pup':1,'sivilingeniør marin teknikk, 5-årig':1,'energi og miljø, elkraft':1,'ms electric power engineering':1,'elektronikk':1,}"
