program,number
"materialteknologi","24"
"bioteknologi master","20"
"produktutvikling og produksjon","109"
"psykologi profesjon","30"
"ingeniørvitenskap og ikt","58"
"bygg- og miljøteknikk","228"
"fysikk og matematikk","131"
"kybernetikk og robotikk","144"
"datateknologi","135"
"marin teknikk","95"
"energi og miljø","132"
"vann- og miljøteknikk","3"
"industriell økonomi og teknologiledelse","271"
"samfunnsøkonomi master","14"
"kommunikasjonsteknologi og digital sikkerhet","67"
"nanoteknologi","59"
"arkitektur","56"
"statsvitenskap","30"
"industriell kjemi og bioteknologi","77"
"elektronisk systemdesign og innovasjon","32"
"petroleumsfag","28"
"samfunnsøkonomi","18"
"europastudier","30"
"bachelor i arkeologi","2"
"industriell design","35"
"biologi bachelor","12"
"sosialt arbeid","14"
"økonomi og administrasjon","88"
"master i matematikk","3"
"bioingeniør","8"
"bachelor i bioingeniørfag","2"
"psykologi bachelor","34"
"informatikk","26"
"logistikkingeniør","4"
"lektor i engelsk","6"
"tekniske geofag","17"
"lektor i samfunnsfag","15"
"økonomi og administrasjon master","7"
"dataingeniør","17"
"digital infrastruktur og cybersikkerhet","5"
"biomarin innovasjon","3"
"ledelse av teknologi","20"
"økonomi og administrasjon bachelor","19"
"engelsk bachelor","9"
"digital forretningsutvikling","4"
"bevegelsesvitenskap","15"
"petroleumsteknologi","6"
"barnevernspedagog","17"
"lektor i geografi","3"
"klassiske fag","2"
"medisin","60"
"bachelor i programmering","2"
"samfunnsøkonomi bachelor","7"
"sosialantropologi","11"
"økonomi, ledelse og bærekraft","4"
"sykepleie bachelor","81"
"vernepleie","3"
"lektor i kroppsøving og idrett","5"
"lektor i realfag","2"
"sosiologi","5"
"bioteknologi","14"
"fornybar energi","5"
"master fysikk","2"
"shipping management","2"
"byggingeniør","2"
"lektor geografi","2"
"elektroingeniør","3"
"film- og videoproduksjon","2"
"arkeologi","9"
"politisk økonomi","2"
"bachelorutdanning i billedkunst","2"
"matteknologi","3"
"marin teknikk, 5-årig master","2"
"fysioterapi","2"
"teknisk kybernetikk","12"
"lektorutdanning i geografi","2"
"kjemi master","2"
"urban ecological planning","2"
"logistikk","2"
"mlspråk","4"
"markedsføring og ledelse","5"
"bachelor i barnevern","5"
"mlhist","2"
"sosialantropologi master","2"
"master i nordisk språk","2"
"energibruk og energiplanlegging","5"
"bachelor tysk","2"
"lektorutdanning i språkfag","4"
"mlreal","2"
"mit","2"
"lektorutdanning i realfag","2"
"lektor","2"
"radiografi","2"
"molecular medicine","2"
"sustainable architecture","2"
"bachelor i pedagogikk","2"
"historie bachelor","2"
"elektronikk","2"
"geomatikk","2"
"afrikastudier","2"
"bbi","2"
