name,slug,country,city,homepage,lat,lng,programs
"technische universität berlin","tu-berlin","Tyskland","Berlin","","52.51101585","13.326954140959668","{'materialteknologi':[{'report_id': '2876', 'year': '2022'}],'grunnskolelærerutdanning 5.-10. trinn':[{'report_id': '2528', 'year': '2021'}],'grunnskolelærerutdanning 5.-10 trinn masterstudium (5-årig)':[{'report_id': '2527', 'year': '2021'}],'msc industriell økologi':[{'report_id': '2430', 'year': '2020'}],'fysikk og matematikk':[{'report_id': '2401', 'year': '2019'}, {'report_id': '2252', 'year': '2020'}, {'report_id': '1196', 'year': '2017'}, {'report_id': '1127', 'year': '2017'}, {'report_id': '485', 'year': '2017'}],'bygg- og miljøteknikk':[{'report_id': '2386', 'year': '2019'}, {'report_id': '1458', 'year': '2018'}, {'report_id': '1457', 'year': '2018'}, {'report_id': '1054', 'year': '2018'}, {'report_id': '474', 'year': '2016'}, {'report_id': '392', 'year': '2016'}, {'report_id': '368', 'year': '2016'}, {'report_id': '243', 'year': '2016'}],'kybernetikk og robotikk':[{'report_id': '2169', 'year': '2019'}, {'report_id': '1930', 'year': '2018'}, {'report_id': '1164', 'year': '2017'}],'marin teknikk':[{'report_id': '1715', 'year': '2017'}, {'report_id': '1201', 'year': '2018'}, {'report_id': '1180', 'year': '2018'}, {'report_id': '520', 'year': '2016'}, {'report_id': '371', 'year': '2016'}],'energi og miljø':[{'report_id': '1170', 'year': '2017'}],'informatikk':[{'report_id': '1129', 'year': '2018'}],'industriell økonomi (marin)':[{'report_id': '1103', 'year': '2018'}],}"
"danmarks tekniske universitet","danmark-tekniske-universitet","Danmark","københavn","","55.6867243","12.5700724","{'bioteknologi master':[{'report_id': '2875', 'year': '2022'}, {'report_id': '1928', 'year': '2019'}],'vann- og miljøteknikk':[{'report_id': '2856', 'year': '2022'}],'chemistry':[{'report_id': '2822', 'year': '2022'}],'bygg- og miljøteknikk':[{'report_id': '2820', 'year': '2022'}, {'report_id': '2642', 'year': '2022'}, {'report_id': '2210', 'year': '2020'}, {'report_id': '1114', 'year': '2017'}, {'report_id': '1101', 'year': '2017'}, {'report_id': '1063', 'year': '2018'}, {'report_id': '1035', 'year': '2018'}, {'report_id': '1031', 'year': '2018'}, {'report_id': '1012', 'year': '2017'}, {'report_id': '1002', 'year': '2017'}, {'report_id': '916', 'year': '2018'}, {'report_id': '900', 'year': '2018'}, {'report_id': '521', 'year': '2017'}, {'report_id': '378', 'year': '2017'}, {'report_id': '203', 'year': '2016'}, {'report_id': '153', 'year': '2017'}, {'report_id': '106', 'year': '2016'}],'kybernetikk og robotikk':[{'report_id': '2789', 'year': '2021'}, {'report_id': '2553', 'year': '2021'}, {'report_id': '1117', 'year': '2017'}],'industriell kjemi og bioteknologi':[{'report_id': '2744', 'year': '2022'}, {'report_id': '2537', 'year': '2020'}, {'report_id': '2517', 'year': '2021'}, {'report_id': '1927', 'year': '2019'}, {'report_id': '1914', 'year': '2019'}, {'report_id': '1660', 'year': '2019'}, {'report_id': '1073', 'year': '2018'}, {'report_id': '1053', 'year': '2018'}, {'report_id': '1052', 'year': '2018'}, {'report_id': '1028', 'year': '2018'}, {'report_id': '1027', 'year': '2018'}, {'report_id': '822', 'year': '2017'}, {'report_id': '665', 'year': '2017'}],'datateknologi':[{'report_id': '2716', 'year': '2022'}, {'report_id': '2681', 'year': '2022'}, {'report_id': '2407', 'year': '2019'}],'marin teknikk':[{'report_id': '2674', 'year': '2022'}, {'report_id': '139', 'year': '2016'}],'produktutvikling og produksjon':[{'report_id': '2665', 'year': '2022'}, {'report_id': '2634', 'year': '2022'}, {'report_id': '2347', 'year': '2020'}, {'report_id': '1773', 'year': '2018'}, {'report_id': '1755', 'year': '2019'}, {'report_id': '780', 'year': '2017'}, {'report_id': '343', 'year': '2016'}, {'report_id': '251', 'year': '2016'}],'kommunikasjonsteknologi og digital sikkerhet':[{'report_id': '2650', 'year': '2021'}, {'report_id': '2641', 'year': '2022'}, {'report_id': '1093', 'year': '2018'}, {'report_id': '914', 'year': '2018'}],'energi og miljø':[{'report_id': '2649', 'year': '2022'}, {'report_id': '2516', 'year': '2021'}, {'report_id': '2515', 'year': '2021'}, {'report_id': '2487', 'year': '2021'}, {'report_id': '1161', 'year': '2017'}, {'report_id': '1029', 'year': '2018'}, {'report_id': '933', 'year': '2017'}, {'report_id': '209', 'year': '2017'}],'energi og prosessteknikk (strømningsteknikk)':[{'report_id': '2533', 'year': '2021'}],'industriell økonomi og teknologiledelse':[{'report_id': '2491', 'year': '2021'}, {'report_id': '2474', 'year': '2021'}, {'report_id': '2459', 'year': '2021'}, {'report_id': '1840', 'year': '2019'}, {'report_id': '1799', 'year': '2019'}, {'report_id': '1039', 'year': '2018'}, {'report_id': '974', 'year': '2018'}, {'report_id': '855', 'year': '2018'}, {'report_id': '426', 'year': '2016'}],'industriell design':[{'report_id': '2417', 'year': '2019'}, {'report_id': '555', 'year': '2016'}, {'report_id': '479', 'year': '2016'}, {'report_id': '453', 'year': '2016'}, {'report_id': '452', 'year': '2016'}],'elektronisk systemdesign og innovasjon':[{'report_id': '2416', 'year': '2019'}, {'report_id': '1089', 'year': '2018'}, {'report_id': '1036', 'year': '2017'}],'fysikk og matematikk':[{'report_id': '2058', 'year': '2019'}, {'report_id': '1957', 'year': '2018'}, {'report_id': '398', 'year': '2016'}, {'report_id': '344', 'year': '2016'}],'bachelor elektroingeniør med rettning automasjon':[{'report_id': '2034', 'year': '2019'}],'ledelse av teknologi':[{'report_id': '2015', 'year': '2019'}],'bimas':[{'report_id': '1978', 'year': '2019'}],'bioteknologi':[{'report_id': '1820', 'year': '2019'}],'energibruk og energiplanlegging':[{'report_id': '1132', 'year': '2018'}, {'report_id': '540', 'year': '2017'}],'mtpetr':[{'report_id': '1119', 'year': '2018'}],'pup':[{'report_id': '1091', 'year': '2017'}],'mit':[{'report_id': '670', 'year': '2017'}],'industriell økologi':[{'report_id': '594', 'year': '2017'}],'energi og miljø, energiplanlegging og miljøanalyse':[{'report_id': '537', 'year': '2016'}],'materialteknologi':[{'report_id': '319', 'year': '2017'}],'bbi':[{'report_id': '239', 'year': '2017'}],'produktutvikling':[{'report_id': '111', 'year': '2016'}],}"
"politecnico di milano","politecnico-di-milano","Italia","Milano","","45.4786583","9.2261817","{'produktutvikling og produksjon':[{'report_id': '2874', 'year': '2022'}, {'report_id': '2271', 'year': '2020'}, {'report_id': '2202', 'year': '2019'}, {'report_id': '1432', 'year': '2018'}, {'report_id': '1167', 'year': '2017'}, {'report_id': '1107', 'year': '2018'}, {'report_id': '970', 'year': '2018'}, {'report_id': '967', 'year': '2018'}, {'report_id': '965', 'year': '2018'}, {'report_id': '943', 'year': '2018'}, {'report_id': '393', 'year': '2016'}, {'report_id': '391', 'year': '2016'}, {'report_id': '390', 'year': '2016'}],'bygg- og miljøteknikk':[{'report_id': '2854', 'year': '2022'}, {'report_id': '2698', 'year': '2021'}, {'report_id': '2493', 'year': '2021'}, {'report_id': '2380', 'year': '2019'}, {'report_id': '1876', 'year': '2019'}, {'report_id': '1195', 'year': '2017'}, {'report_id': '1177', 'year': '2017'}, {'report_id': '1159', 'year': '2017'}, {'report_id': '1020', 'year': '2017'}, {'report_id': '733', 'year': '2017'}, {'report_id': '580', 'year': '2017'}, {'report_id': '335', 'year': '2016'}, {'report_id': '104', 'year': '2017'}],'energi og miljø':[{'report_id': '2848', 'year': '2021'}, {'report_id': '2764', 'year': '2022'}, {'report_id': '2735', 'year': '2021'}, {'report_id': '2588', 'year': '2021'}, {'report_id': '1948', 'year': '2019'}, {'report_id': '1793', 'year': '2019'}, {'report_id': '1792', 'year': '2019'}, {'report_id': '1186', 'year': '2017'}, {'report_id': '1163', 'year': '2017'}],'industriell økonomi og teknologiledelse':[{'report_id': '2838', 'year': '2022'}, {'report_id': '2837', 'year': '2022'}, {'report_id': '2792', 'year': '2022'}, {'report_id': '2706', 'year': '2021'}, {'report_id': '2597', 'year': '2021'}, {'report_id': '2586', 'year': '2021'}, {'report_id': '2577', 'year': '2021'}, {'report_id': '2526', 'year': '2021'}, {'report_id': '2409', 'year': '2020'}, {'report_id': '2400', 'year': '2019'}, {'report_id': '1950', 'year': '2019'}, {'report_id': '1115', 'year': '2017'}],'datateknologi':[{'report_id': '2833', 'year': '2022'}, {'report_id': '2794', 'year': '2021'}, {'report_id': '2782', 'year': '2021'}],'arkitektur':[{'report_id': '2749', 'year': '2022'}, {'report_id': '1929', 'year': '2018'}],'logistikkingeniør':[{'report_id': '2621', 'year': '2021'}],'industriell design':[{'report_id': '2604', 'year': '2021'}, {'report_id': '2585', 'year': '2021'}, {'report_id': '2297', 'year': '2019'}, {'report_id': '2296', 'year': '2019'}],'arkitektur (5-årig master)':[{'report_id': '2582', 'year': '2021'}],'ingeniørvitenskap og ikt':[{'report_id': '2510', 'year': '2021'}],'mting':[{'report_id': '2488', 'year': '2021'}],'konstruksjon':[{'report_id': '2402', 'year': '2020'}],'industriell kjemi og bioteknologi':[{'report_id': '2257', 'year': '2019'}, {'report_id': '2174', 'year': '2019'}, {'report_id': '2162', 'year': '2019'}, {'report_id': '1920', 'year': '2018'}, {'report_id': '1919', 'year': '2018'}, {'report_id': '1916', 'year': '2018'}, {'report_id': '201', 'year': '2016'}],'kommunikasjonsteknologi og digital sikkerhet':[{'report_id': '1955', 'year': '2018'}, {'report_id': '1887', 'year': '2018'}, {'report_id': '1868', 'year': '2018'}, {'report_id': '578', 'year': '2017'}],'kybernetikk og robotikk':[{'report_id': '1442', 'year': '2018'}, {'report_id': '1137', 'year': '2017'}],'tekniske geofag':[{'report_id': '1143', 'year': '2017'}],'produsjonsteknologi':[{'report_id': '1120', 'year': '2018'}],'marin teknikk':[{'report_id': '931', 'year': '2018'}, {'report_id': '846', 'year': '2017'}],'sustainable manufacturing':[{'report_id': '722', 'year': '2017'}],'teknisk kybernetikk':[{'report_id': '684', 'year': '2017'}],'sustainable architecture':[{'report_id': '572', 'year': '2017'}],}"
"ludwig-maximilian universität (lmu)","ludwig-maximilian-universitat-(lmu)","Tyskland","München","","48.1371079","11.5753822","{'psykologi profesjon':[{'report_id': '2873', 'year': '2021'}],}"
"la sapienza","la-sapienza","Italia","Roma","","41.9066442","12.5168288","{'ingeniørvitenskap og ikt':[{'report_id': '2872', 'year': '2023'}],'datateknologi':[{'report_id': '2853', 'year': '2022'}, {'report_id': '2850', 'year': '2021'}],'kommunikasjonsteknologi og digital sikkerhet':[{'report_id': '2831', 'year': '2022'}, {'report_id': '1905', 'year': '2018'}, {'report_id': '1884', 'year': '2018'}],'arkitektur':[{'report_id': '2825', 'year': '2021'}, {'report_id': '2710', 'year': '2022'}],'industriell økonomi og teknologiledelse':[{'report_id': '2702', 'year': '2022'}, {'report_id': '2668', 'year': '2022'}],'nanoteknologi':[{'report_id': '2694', 'year': '2021'}],'digital infrastruktur og cybersikkerhet':[{'report_id': '2576', 'year': '2021'}],'master, international business and marketing':[{'report_id': '2554', 'year': '2021'}],'kybernetikk og robotikk':[{'report_id': '2471', 'year': '2021'}, {'report_id': '956', 'year': '2017'}],'fysikk og matematikk':[{'report_id': '2377', 'year': '2020'}],'informatikk':[{'report_id': '2176', 'year': '2019'}, {'report_id': '2155', 'year': '2019'}, {'report_id': '2133', 'year': '2019'}],'master i teknologiledelse':[{'report_id': '2146', 'year': '2019'}],'energi og miljø':[{'report_id': '959', 'year': '2017'}],}"
"boku, universität für bodenkultur","boku-universitat-fur-bodenkultur","Østerrike","Wien","","48.2083537","16.3725042","{'bygg- og miljøteknikk':[{'report_id': '2871', 'year': '2021'}],'industriell økonomi og teknologiledelse':[{'report_id': '2457', 'year': '2020'}],'bachelor i generell filosofi':[{'report_id': '2168', 'year': '2019'}],'maar':[{'report_id': '1911', 'year': '2018'}],'datateknologi':[{'report_id': '1847', 'year': '2018'}],'kybernetikk og robotikk':[{'report_id': '1794', 'year': '2018'}],'statsvitenskap master':[{'report_id': '1676', 'year': '2018'}],'energi og miljø':[{'report_id': '1234', 'year': '2017'}],'master i matematikk (topologi)':[{'report_id': '1047', 'year': '2017'}],'arkitektur':[{'report_id': '661', 'year': '2016'}],'nanoteknologi':[{'report_id': '558', 'year': '2017'}],'biologi':[{'report_id': '556', 'year': '2017'}],}"
"universitetet i bolgona","universitetet-i-bolgona","Italia","Bologna","","44.4938203","11.3426327","{'fysikk og matematikk':[{'report_id': '2870', 'year': '2021'}],}"
"osaka metropolitan university","osaka-metropolitan-university","Japan","Osaka","","34.5919553","135.5061013","{'kybernetikk og robotikk':[{'report_id': '2869', 'year': '2022'}],'industriell kjemi og bioteknologi':[{'report_id': '2048', 'year': '2019'}, {'report_id': '2047', 'year': '2019'}],'musikkteknologi':[{'report_id': '1959', 'year': '2019'}],'datateknologi':[{'report_id': '1907', 'year': '2018'}, {'report_id': '1852', 'year': '2018'}],'master i databaser og søk':[{'report_id': '116', 'year': '2016'}],}"
"universitat politècnica de valència","upv","Spania","Valencia","","39.4812036","-0.3500211","{'produktutvikling og produksjon':[{'report_id': '2868', 'year': '2021'}, {'report_id': '2685', 'year': '2022'}, {'report_id': '2412', 'year': '2019'}, {'report_id': '2088', 'year': '2019'}],'industriell kjemi og bioteknologi':[{'report_id': '2811', 'year': '2022'}, {'report_id': '2776', 'year': '2022'}, {'report_id': '2109', 'year': '2019'}, {'report_id': '1875', 'year': '2019'}],'industriell økonomi og teknologiledelse':[{'report_id': '2797', 'year': '2022'}, {'report_id': '2712', 'year': '2021'}, {'report_id': '1112', 'year': '2017'}],'pup puma':[{'report_id': '2788', 'year': '2022'}],'kybernetikk og robotikk':[{'report_id': '2713', 'year': '2021'}, {'report_id': '2519', 'year': '2021'}, {'report_id': '2511', 'year': '2021'}, {'report_id': '2472', 'year': '2021'}],'marin teknikk':[{'report_id': '2705', 'year': '2022'}, {'report_id': '2395', 'year': '2020'}, {'report_id': '1081', 'year': '2018'}],'samfunnsøkonomi':[{'report_id': '2664', 'year': '2021'}],'psykologi profesjon':[{'report_id': '2612', 'year': '2022'}, {'report_id': '1371', 'year': '2018'}],'informatikk':[{'report_id': '2455', 'year': '2020'}, {'report_id': '2403', 'year': '2019'}],'industriell design':[{'report_id': '2406', 'year': '2019'}, {'report_id': '1843', 'year': '2018'}, {'report_id': '995', 'year': '2017'}],'bygg- og miljøteknikk':[{'report_id': '2396', 'year': '2019'}, {'report_id': '2388', 'year': '2020'}, {'report_id': '2235', 'year': '2020'}, {'report_id': '1934', 'year': '2018'}, {'report_id': '1925', 'year': '2019'}, {'report_id': '1912', 'year': '2018'}, {'report_id': '1908', 'year': '2018'}, {'report_id': '1865', 'year': '2018'}, {'report_id': '1849', 'year': '2018'}, {'report_id': '1530', 'year': '2018'}, {'report_id': '1098', 'year': '2017'}, {'report_id': '1084', 'year': '2017'}, {'report_id': '1083', 'year': '2018'}, {'report_id': '1082', 'year': '2017'}, {'report_id': '1040', 'year': '2017'}, {'report_id': '1025', 'year': '2017'}, {'report_id': '1003', 'year': '2017'}, {'report_id': '989', 'year': '2017'}, {'report_id': '985', 'year': '2017'}, {'report_id': '958', 'year': '2018'}, {'report_id': '852', 'year': '2017'}, {'report_id': '595', 'year': '2017'}, {'report_id': '320', 'year': '2016'}, {'report_id': '265', 'year': '2016'}, {'report_id': '231', 'year': '2017'}, {'report_id': '75', 'year': '2016'}],'fysikk og matematikk':[{'report_id': '2385', 'year': '2019'}, {'report_id': '2376', 'year': '2019'}, {'report_id': '1807', 'year': '2018'}, {'report_id': '1492', 'year': '2018'}],'psykologi bachelor':[{'report_id': '2367', 'year': '2019'}, {'report_id': '1577', 'year': '2018'}, {'report_id': '1557', 'year': '2018'}, {'report_id': '1549', 'year': '2018'}, {'report_id': '394', 'year': '2017'}, {'report_id': '303', 'year': '2017'}],'ingeniørvitenskap og ikt':[{'report_id': '2362', 'year': '2019'}],'ledelse av teknologi':[{'report_id': '2339', 'year': '2019'}, {'report_id': '2046', 'year': '2019'}],'sosiologi bachelor':[{'report_id': '2272', 'year': '2019'}],'lektor i kroppsøving og idrett':[{'report_id': '2234', 'year': '2019'}],'bioteknologi':[{'report_id': '2123', 'year': '2019'}],'datateknologi':[{'report_id': '1921', 'year': '2018'}, {'report_id': '1037', 'year': '2018'}],'energi og miljø':[{'report_id': '1880', 'year': '2018'}, {'report_id': '1859', 'year': '2018'}, {'report_id': '1130', 'year': '2017'}, {'report_id': '1106', 'year': '2017'}, {'report_id': '1104', 'year': '2017'}, {'report_id': '1064', 'year': '2017'}, {'report_id': '608', 'year': '2017'}],'økonomi og administrasjon':[{'report_id': '1716', 'year': '2018'}, {'report_id': '1066', 'year': '2018'}],'bioteknologi master':[{'report_id': '1694', 'year': '2019'}, {'report_id': '1648', 'year': '2018'}],'psykologi':[{'report_id': '1576', 'year': '2018'}, {'report_id': '273', 'year': '2016'}],'arkitektur':[{'report_id': '980', 'year': '2018'}],'kommunikasjonsteknologi og digital sikkerhet':[{'report_id': '133', 'year': '2016'}],}"
"università di bologna","university-of-bologna","Italia","Bologna","","44.498288599999995","11.354457015059028","{'datateknologi':[{'report_id': '2867', 'year': '2021'}, {'report_id': '2852', 'year': '2021'}, {'report_id': '2813', 'year': '2021'}, {'report_id': '2684', 'year': '2021'}, {'report_id': '2461', 'year': '2021'}, {'report_id': '1136', 'year': '2017'}],'kybernetikk og robotikk':[{'report_id': '2863', 'year': '2021'}, {'report_id': '2486', 'year': '2021'}, {'report_id': '2147', 'year': '2019'}, {'report_id': '1869', 'year': '2018'}, {'report_id': '1239', 'year': '2017'}, {'report_id': '140', 'year': '2016'}, {'report_id': '105', 'year': '2016'}],'energi og miljø':[{'report_id': '2817', 'year': '2021'}, {'report_id': '2572', 'year': '2021'}, {'report_id': '2454', 'year': '2020'}, {'report_id': '2445', 'year': '2020'}, {'report_id': '2218', 'year': '2019'}, {'report_id': '2213', 'year': '2019'}, {'report_id': '2212', 'year': '2019'}, {'report_id': '1899', 'year': '2018'}, {'report_id': '1883', 'year': '2018'}, {'report_id': '1362', 'year': '2018'}, {'report_id': '1213', 'year': '2017'}, {'report_id': '1185', 'year': '2017'}, {'report_id': '1184', 'year': '2018'}, {'report_id': '1181', 'year': '2017'}, {'report_id': '617', 'year': '2016'}, {'report_id': '292', 'year': '2016'}, {'report_id': '271', 'year': '2016'}],'industriell økonomi og teknologiledelse':[{'report_id': '2790', 'year': '2022'}, {'report_id': '2622', 'year': '2021'}, {'report_id': '2563', 'year': '2021'}, {'report_id': '2560', 'year': '2021'}, {'report_id': '1596', 'year': '2018'}, {'report_id': '604', 'year': '2016'}, {'report_id': '601', 'year': '2016'}],'samfunnsøkonomi':[{'report_id': '2783', 'year': '2021'}],'kommunikasjonsteknologi og digital sikkerhet':[{'report_id': '2760', 'year': '2021'}, {'report_id': '1751', 'year': '2018'}, {'report_id': '1750', 'year': '2018'}, {'report_id': '1166', 'year': '2017'}],'bygg- og miljøteknikk':[{'report_id': '2728', 'year': '2022'}, {'report_id': '2696', 'year': '2021'}, {'report_id': '2372', 'year': '2020'}, {'report_id': '2245', 'year': '2019'}, {'report_id': '2244', 'year': '2019'}, {'report_id': '2243', 'year': '2020'}, {'report_id': '2208', 'year': '2020'}, {'report_id': '1822', 'year': '2018'}, {'report_id': '1745', 'year': '2018'}, {'report_id': '1744', 'year': '2018'}, {'report_id': '1742', 'year': '2018'}, {'report_id': '1470', 'year': '2018'}, {'report_id': '1158', 'year': '2017'}, {'report_id': '1126', 'year': '2017'}, {'report_id': '1125', 'year': '2017'}, {'report_id': '1094', 'year': '2017'}],'industriell kjemi og bioteknologi':[{'report_id': '2675', 'year': '2021'}, {'report_id': '1863', 'year': '2018'}, {'report_id': '1122', 'year': '2017'}],'sivilingeniør, datateknologi':[{'report_id': '2460', 'year': '2021'}],'fysikk og matematikk':[{'report_id': '2447', 'year': '2020'}, {'report_id': '2246', 'year': '2019'}, {'report_id': '1124', 'year': '2017'}],'medisin':[{'report_id': '2438', 'year': '2020'}, {'report_id': '2428', 'year': '2020'}, {'report_id': '2035', 'year': '2019'}, {'report_id': '944', 'year': '2018'}, {'report_id': '47', 'year': '2016'}],'fysmat':[{'report_id': '2131', 'year': '2019'}],'mlt':[{'report_id': '1568', 'year': '2018'}],'økonomi og administrasjon':[{'report_id': '1505', 'year': '2018'}],'produktutvikling og produksjon':[{'report_id': '968', 'year': '2017'}],'religionsvitenskap / årsstudium engelsk':[{'report_id': '610', 'year': '2016'}],'ingeniørvitenskap og ikt':[{'report_id': '609', 'year': '2016'}],'teknisk kybernetikk':[{'report_id': '144', 'year': '2017'}],'samfunnsøkonomi master':[{'report_id': '114', 'year': '2016'}],}"
